IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.60.28,443,443,TRUE,FRA,Europe,Frankfurt,189,8.92
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,209,8.92
34.116.229.15,443,443,TRUE,FRA,Europe,Frankfurt,190,8.92
34.116.200.216,443,443,TRUE,FRA,Europe,Frankfurt,189,8.9
34.118.53.60,443,443,TRUE,FRA,Europe,Frankfurt,193,8.89
34.118.58.201,443,443,TRUE,FRA,Europe,Frankfurt,206,8.89
34.118.120.232,443,443,TRUE,FRA,Europe,Frankfurt,234,8.88
34.90.93.64,443,443,TRUE,FRA,Europe,Frankfurt,195,8.88
34.116.193.7,443,443,TRUE,FRA,Europe,Frankfurt,207,8.88
34.118.51.173,443,443,TRUE,FRA,Europe,Frankfurt,188,8.86
34.118.48.114,443,443,TRUE,FRA,Europe,Frankfurt,253,8.86
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,210,8.86
34.116.138.28,443,443,TRUE,FRA,Europe,Frankfurt,195,8.85
34.116.239.211,443,443,TRUE,FRA,Europe,Frankfurt,212,8.84
34.116.229.44,443,443,TRUE,FRA,Europe,Frankfurt,189,8.84
34.118.114.204,443,443,TRUE,FRA,Europe,Frankfurt,242,8.83
34.118.46.91,443,443,TRUE,FRA,Europe,Frankfurt,203,8.83
34.116.248.191,443,443,TRUE,FRA,Europe,Frankfurt,208,8.83
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,206,8.83
34.116.246.250,443,443,TRUE,FRA,Europe,Frankfurt,196,8.82
34.116.254.70,443,443,TRUE,FRA,Europe,Frankfurt,192,8.81
34.116.243.223,443,443,TRUE,FRA,Europe,Frankfurt,195,8.81
34.118.114.204,443,443,TRUE,FRA,Europe,Frankfurt,193,8.8
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,209,8.8
34.159.188.41,443,443,TRUE,FRA,Europe,Frankfurt,273,8.77
34.116.163.17,443,443,TRUE,FRA,Europe,Frankfurt,187,8.75
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,209,8.75
34.118.14.33,443,443,TRUE,FRA,Europe,Frankfurt,199,8.75
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,209,8.75
34.29.228.169,443,443,TRUE,ORD,North America,Chicago,208,8.74
34.118.77.144,443,443,TRUE,FRA,Europe,Frankfurt,229,8.74
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,209,8.74
34.29.228.169,443,443,TRUE,ORD,North America,Chicago,208,8.73
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,207,8.73
34.118.77.217,443,443,TRUE,FRA,Europe,Frankfurt,222,8.73
34.118.38.75,443,443,TRUE,FRA,Europe,Frankfurt,249,8.72
34.116.211.122,443,443,TRUE,FRA,Europe,Frankfurt,193,8.71
34.118.7.233,443,443,TRUE,FRA,Europe,Frankfurt,191,8.71
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,216,8.71
34.118.109.206,443,443,TRUE,FRA,Europe,Frankfurt,184,8.7
34.118.4.192,443,443,TRUE,FRA,Europe,Frankfurt,229,8.7
34.118.77.217,443,443,TRUE,FRA,Europe,Frankfurt,188,8.68
34.65.234.143,443,443,TRUE,FRA,Europe,Frankfurt,173,8.65
34.118.56.43,443,443,TRUE,FRA,Europe,Frankfurt,190,8.61
34.65.29.110,443,443,TRUE,FRA,Europe,Frankfurt,175,8.58
34.118.74.247,443,443,TRUE,FRA,Europe,Frankfurt,194,8.58
34.118.27.114,443,443,TRUE,FRA,Europe,Frankfurt,189,8.58
34.118.118.40,443,443,TRUE,FRA,Europe,Frankfurt,243,8.57
34.118.77.33,443,443,TRUE,FRA,Europe,Frankfurt,187,8.57
34.154.6.13,443,443,TRUE,FRA,Europe,Frankfurt,163,8.56
34.118.46.91,443,443,TRUE,FRA,Europe,Frankfurt,194,8.55
34.118.77.144,443,443,TRUE,FRA,Europe,Frankfurt,192,8.53
34.118.94.121,443,443,TRUE,FRA,Europe,Frankfurt,190,8.53
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,209,8.52
34.118.105.94,443,443,TRUE,FRA,Europe,Frankfurt,189,8.48
34.116.174.105,443,443,TRUE,FRA,Europe,Frankfurt,192,8.47
34.154.186.87,443,443,TRUE,FRA,Europe,Frankfurt,187,8.47
34.118.122.49,443,443,TRUE,FRA,Europe,Frankfurt,263,8.47
34.118.109.157,443,443,TRUE,FRA,Europe,Frankfurt,189,8.46
34.118.33.54,443,443,TRUE,FRA,Europe,Frankfurt,189,8.45
34.90.93.64,443,443,TRUE,FRA,Europe,Frankfurt,179,8.45
34.116.235.3,443,443,TRUE,FRA,Europe,Frankfurt,186,8.44
34.116.167.118,443,443,TRUE,FRA,Europe,Frankfurt,192,8.44
34.118.56.43,443,443,TRUE,FRA,Europe,Frankfurt,232,8.44
34.116.149.130,443,443,TRUE,FRA,Europe,Frankfurt,184,8.43
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,213,8.42
34.118.22.52,443,443,TRUE,FRA,Europe,Frankfurt,186,8.41
34.116.209.41,443,443,TRUE,FRA,Europe,Frankfurt,191,8.41
34.118.48.114,443,443,TRUE,FRA,Europe,Frankfurt,190,8.39
34.116.151.200,443,443,TRUE,FRA,Europe,Frankfurt,188,8.38
34.118.38.75,443,443,TRUE,FRA,Europe,Frankfurt,187,8.38
34.116.214.219,443,443,TRUE,FRA,Europe,Frankfurt,188,8.36
34.116.204.154,443,443,TRUE,FRA,Europe,Frankfurt,191,8.35
34.118.3.246,443,443,TRUE,FRA,Europe,Frankfurt,174,8.34
34.65.73.151,443,443,TRUE,FRA,Europe,Frankfurt,180,8.33
34.32.133.143,443,443,TRUE,FRA,Europe,Frankfurt,174,8.32
34.116.212.164,443,443,TRUE,FRA,Europe,Frankfurt,186,8.32
34.116.134.235,443,443,TRUE,FRA,Europe,Frankfurt,194,8.31
34.118.89.135,443,443,TRUE,FRA,Europe,Frankfurt,190,8.31
34.118.14.243,443,443,TRUE,FRA,Europe,Frankfurt,193,8.3
35.234.105.217,443,443,TRUE,FRA,Europe,Frankfurt,164,8.29
34.118.52.200,443,443,TRUE,FRA,Europe,Frankfurt,192,8.27
34.91.179.33,443,443,TRUE,FRA,Europe,Frankfurt,179,8.26
34.118.32.35,443,443,TRUE,FRA,Europe,Frankfurt,188,8.24
34.116.138.204,443,443,TRUE,FRA,Europe,Frankfurt,194,8.23
35.196.72.166,443,443,TRUE,ATL,North America,Atlanta,222,8.23
34.118.17.120,443,443,TRUE,FRA,Europe,Frankfurt,199,8.23
34.91.179.33,443,443,TRUE,FRA,Europe,Frankfurt,174,8.23
34.116.143.158,443,443,TRUE,FRA,Europe,Frankfurt,193,8.22
34.118.114.221,443,443,TRUE,FRA,Europe,Frankfurt,189,8.19
34.116.212.205,443,443,TRUE,FRA,Europe,Frankfurt,192,8.19
35.204.84.242,443,443,TRUE,FRA,Europe,Frankfurt,179,8.19
34.118.0.26,443,443,TRUE,FRA,Europe,Frankfurt,254,8.17
34.116.128.115,443,443,TRUE,FRA,Europe,Frankfurt,193,8.14
34.91.173.54,443,443,TRUE,FRA,Europe,Frankfurt,162,8.13
34.118.27.114,443,443,TRUE,FRA,Europe,Frankfurt,218,8.12
34.147.36.114,443,443,TRUE,FRA,Europe,Frankfurt,209,8.12
34.118.62.8,443,443,TRUE,FRA,Europe,Frankfurt,193,8.12
34.91.173.54,443,443,TRUE,FRA,Europe,Frankfurt,202,8.08
34.118.58.201,443,443,TRUE,FRA,Europe,Frankfurt,245,8.05
34.116.198.134,443,443,TRUE,FRA,Europe,Frankfurt,187,8.05
34.116.253.19,443,443,TRUE,FRA,Europe,Frankfurt,205,8.03
34.65.29.110,443,443,TRUE,FRA,Europe,Frankfurt,166,8.01
34.148.187.247,443,443,TRUE,ATL,North America,Atlanta,220,8
34.116.144.48,443,443,TRUE,FRA,Europe,Frankfurt,195,7.99
34.154.48.205,443,443,TRUE,FRA,Europe,Frankfurt,176,7.99
34.118.106.236,443,443,TRUE,FRA,Europe,Frankfurt,197,7.97
34.118.125.170,443,443,TRUE,FRA,Europe,Frankfurt,189,7.97
34.118.55.40,443,443,TRUE,FRA,Europe,Frankfurt,208,7.96
34.118.67.75,443,443,TRUE,FRA,Europe,Frankfurt,240,7.92
34.118.96.199,443,443,TRUE,FRA,Europe,Frankfurt,246,7.89
34.118.51.173,443,443,TRUE,FRA,Europe,Frankfurt,214,7.89
34.118.55.40,443,443,TRUE,FRA,Europe,Frankfurt,255,7.89
34.159.18.106,443,443,TRUE,FRA,Europe,Frankfurt,174,7.88
34.116.153.159,443,443,TRUE,FRA,Europe,Frankfurt,192,7.87
34.118.96.199,443,443,TRUE,FRA,Europe,Frankfurt,194,7.87
34.118.109.159,443,443,TRUE,DUS,Europe,Düsseldorf,187,7.79
34.118.17.120,443,443,TRUE,FRA,Europe,Frankfurt,241,7.77
34.34.92.204,443,443,TRUE,FRA,Europe,Frankfurt,175,7.75
34.118.14.243,443,443,TRUE,FRA,Europe,Frankfurt,242,7.75
34.116.236.232,443,443,TRUE,FRA,Europe,Frankfurt,192,7.74
34.34.92.204,443,443,TRUE,FRA,Europe,Frankfurt,174,7.71
34.116.246.74,443,443,TRUE,FRA,Europe,Frankfurt,187,7.67
34.154.104.51,443,443,TRUE,FRA,Europe,Frankfurt,185,7.65
34.116.231.190,443,443,TRUE,FRA,Europe,Frankfurt,176,7.63
34.163.89.60,2053,443,TRUE,CDG,Europe,Paris,227,7.57
34.107.121.170,443,443,TRUE,FRA,Europe,Frankfurt,171,7.56
34.116.212.33,443,443,TRUE,FRA,Europe,Frankfurt,188,7.41
34.91.173.54,443,443,TRUE,FRA,Europe,Frankfurt,183,7.4
34.154.157.229,443,443,TRUE,FRA,Europe,Frankfurt,167,7.38
34.118.94.121,443,443,TRUE,FRA,Europe,Frankfurt,260,7.36
34.163.89.60,8443,443,TRUE,CDG,Europe,Paris,264,7.36
35.204.50.213,443,443,TRUE,FRA,Europe,Frankfurt,178,7.35
34.34.186.205,443,443,TRUE,CDG,Europe,Paris,229,7.33
35.198.64.216,443,443,TRUE,FRA,Europe,Frankfurt,169,7.31
34.65.73.151,443,443,TRUE,FRA,Europe,Frankfurt,166,7.29
34.163.89.60,8443,443,TRUE,CDG,Europe,Paris,228,7.25
34.163.89.60,2053,443,TRUE,CDG,Europe,Paris,229,7.24
34.116.195.223,443,443,TRUE,FRA,Europe,Frankfurt,177,7.24
34.65.29.110,443,443,TRUE,FRA,Europe,Frankfurt,175,7.22
34.118.69.194,443,443,TRUE,FRA,Europe,Frankfurt,224,7.21
34.118.27.239,443,443,TRUE,FRA,Europe,Frankfurt,252,7.17
34.91.173.54,443,443,TRUE,FRA,Europe,Frankfurt,173,7.16
34.118.121.79,443,443,TRUE,FRA,Europe,Frankfurt,217,7.11
34.154.95.55,443,443,TRUE,FRA,Europe,Frankfurt,179,7.04
34.90.210.132,443,443,TRUE,FRA,Europe,Frankfurt,194,7.03
34.118.102.141,443,443,TRUE,FRA,Europe,Frankfurt,215,6.98
34.116.195.223,443,443,TRUE,FRA,Europe,Frankfurt,183,6.7
34.65.209.233,443,443,TRUE,FRA,Europe,Frankfurt,177,6.7
34.118.3.246,443,443,TRUE,FRA,Europe,Frankfurt,245,6.58
34.118.62.8,443,443,TRUE,FRA,Europe,Frankfurt,239,6.56
34.118.50.137,443,443,TRUE,FRA,Europe,Frankfurt,226,6.55
34.154.209.117,443,443,TRUE,FRA,Europe,Frankfurt,178,6.55
34.118.121.79,443,443,TRUE,FRA,Europe,Frankfurt,189,6.54
34.118.32.35,443,443,TRUE,FRA,Europe,Frankfurt,230,6.51
34.118.97.63,443,443,TRUE,FRA,Europe,Frankfurt,239,6.4
34.116.192.44,443,443,TRUE,FRA,Europe,Frankfurt,189,6.37
34.118.114.221,443,443,TRUE,FRA,Europe,Frankfurt,230,6.32
34.118.42.66,443,443,TRUE,FRA,Europe,Frankfurt,250,6.22
34.118.14.33,443,443,TRUE,FRA,Europe,Frankfurt,260,6.21
34.118.109.157,443,443,TRUE,FRA,Europe,Frankfurt,238,6.18
34.118.106.236,443,443,TRUE,FRA,Europe,Frankfurt,225,6.18
34.118.7.233,443,443,TRUE,FRA,Europe,Frankfurt,243,6.15
34.118.74.247,443,443,TRUE,FRA,Europe,Frankfurt,252,6.14
34.141.191.161,443,443,TRUE,FRA,Europe,Frankfurt,183,6.1
34.116.149.83,443,443,TRUE,FRA,Europe,Frankfurt,189,6.1
34.118.53.60,443,443,TRUE,FRA,Europe,Frankfurt,199,6.03
34.91.108.244,443,443,TRUE,FRA,Europe,Frankfurt,175,5.91
34.154.41.80,443,443,TRUE,FRA,Europe,Frankfurt,176,5.91
34.118.55.137,443,443,TRUE,FRA,Europe,Frankfurt,266,5.91
34.34.186.205,443,443,TRUE,CDG,Europe,Paris,228,5.89
34.118.109.206,443,443,TRUE,FRA,Europe,Frankfurt,226,5.86
34.118.89.135,443,443,TRUE,FRA,Europe,Frankfurt,249,5.83
34.118.42.32,443,443,TRUE,FRA,Europe,Frankfurt,219,5.83
34.118.22.52,443,443,TRUE,FRA,Europe,Frankfurt,247,5.82
34.118.102.141,443,443,TRUE,FRA,Europe,Frankfurt,237,5.7
34.118.33.54,443,443,TRUE,FRA,Europe,Frankfurt,211,5.67
34.118.77.33,443,443,TRUE,FRA,Europe,Frankfurt,263,5.47
34.118.52.200,443,443,TRUE,FRA,Europe,Frankfurt,231,5.32
34.147.231.33,443,443,TRUE,LHR,Europe,London,229,5.28
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,83,0.61
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,171,0.61
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,143,0.61
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,159,0
34.105.49.234,80,80,FALSE,SEA,North America,Seattle,157,0
34.36.183.121,80,80,FALSE,SIN,Asia Pacific,Singapore,1,0
34.36.41.236,80,80,FALSE,SIN,Asia Pacific,Singapore,1,0
35.187.229.127,80,8080,FALSE,SIN,Asia Pacific,Singapore,2,0
34.117.254.68,80,80,FALSE,SIN,Asia Pacific,Singapore,7,0
35.244.203.169,80,80,FALSE,SIN,Asia Pacific,Singapore,14,0
34.160.118.77,80,80,FALSE,SIN,Asia Pacific,Singapore,22,0
34.111.135.19,80,80,FALSE,SIN,Asia Pacific,Singapore,24,0
34.54.251.222,80,80,FALSE,ORD,North America,Chicago,30,0
34.160.118.77,80,80,FALSE,SIN,Asia Pacific,Singapore,31,0
34.49.212.232,80,80,FALSE,SIN,Asia Pacific,Singapore,35,0
34.54.137.38,80,80,FALSE,SIN,Asia Pacific,Singapore,43,0
34.150.29.153,443,80,FALSE,HKG,Asia Pacific,Hong Kong,54,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
35.200.202.118,80,80,FALSE,BOM,Asia Pacific,Mumbai,62,0
35.200.202.118,80,80,FALSE,BOM,Asia Pacific,Mumbai,68,0
34.64.46.166,443,443,TRUE,NRT,Asia Pacific,Tokyo,93,0
35.247.124.181,443,443,TRUE,SEA,North America,Seattle,156,0
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,156,0
34.168.117.104,443,80,FALSE,SEA,North America,Seattle,157,0
34.82.188.91,443,443,TRUE,SEA,North America,Seattle,158,0
34.82.76.253,443,443,TRUE,SEA,North America,Seattle,159,0
35.246.158.205,443,443,TRUE,FRA,Europe,Frankfurt,164,0
35.246.165.47,443,443,TRUE,FRA,Europe,Frankfurt,167,0
34.89.241.120,443,443,TRUE,FRA,Europe,Frankfurt,168,0
34.89.222.182,443,443,TRUE,FRA,Europe,Frankfurt,168,0
34.102.111.127,80,80,FALSE,LAX,North America,Los Angeles,170,0
34.89.241.120,443,443,TRUE,FRA,Europe,Frankfurt,170,0
34.89.249.158,443,443,TRUE,FRA,Europe,Frankfurt,170,0
34.168.117.104,80,80,FALSE,SEA,North America,Seattle,171,0
34.89.194.176,443,443,TRUE,FRA,Europe,Frankfurt,172,0
34.102.111.127,80,80,FALSE,LAX,North America,Los Angeles,173,0
34.90.191.248,443,443,TRUE,FRA,Europe,Frankfurt,174,0
34.90.134.12,443,443,TRUE,FRA,Europe,Frankfurt,175,0
34.90.40.239,443,443,TRUE,FRA,Europe,Frankfurt,176,0
34.147.101.117,2083,80,FALSE,AMS,Europe,Amsterdam,177,0
34.147.101.117,2052,80,FALSE,AMS,Europe,Amsterdam,178,0
34.147.101.117,2086,80,FALSE,AMS,Europe,Amsterdam,178,0
34.90.62.220,443,443,TRUE,FRA,Europe,Frankfurt,179,0
34.175.161.245,2087,80,FALSE,MAD,Europe,Madrid,179,0
34.175.95.58,2053,80,FALSE,MAD,Europe,Madrid,180,0
34.175.7.231,2082,80,FALSE,MAD,Europe,Madrid,180,0
34.175.95.58,2096,80,FALSE,MAD,Europe,Madrid,180,0
34.175.161.245,2083,80,FALSE,MAD,Europe,Madrid,180,0
34.175.161.245,2053,80,FALSE,MAD,Europe,Madrid,181,0
34.175.244.157,2052,80,FALSE,MAD,Europe,Madrid,181,0
34.175.133.251,2087,80,FALSE,MAD,Europe,Madrid,181,0
34.175.161.245,2052,80,FALSE,MAD,Europe,Madrid,181,0
34.175.143.15,2095,80,FALSE,MAD,Europe,Madrid,181,0
34.175.133.251,2082,80,FALSE,MAD,Europe,Madrid,181,0
34.175.99.73,2052,80,FALSE,MAD,Europe,Madrid,181,0
34.175.133.251,2095,80,FALSE,MAD,Europe,Madrid,182,0
34.175.95.58,2095,80,FALSE,MAD,Europe,Madrid,182,0
34.147.101.117,2095,80,FALSE,AMS,Europe,Amsterdam,182,0
34.175.7.231,2087,80,FALSE,MAD,Europe,Madrid,182,0
34.175.161.245,2082,80,FALSE,MAD,Europe,Madrid,182,0
34.175.99.73,2096,80,FALSE,MAD,Europe,Madrid,183,0
34.175.95.58,2052,80,FALSE,MAD,Europe,Madrid,183,0
34.175.133.251,2053,80,FALSE,MAD,Europe,Madrid,183,0
34.175.161.245,2095,80,FALSE,MAD,Europe,Madrid,183,0
34.175.7.231,2053,80,FALSE,MAD,Europe,Madrid,183,0
34.175.95.58,2082,80,FALSE,MAD,Europe,Madrid,183,0
34.147.82.194,2053,80,FALSE,AMS,Europe,Amsterdam,185,0
34.175.7.231,2052,80,FALSE,MAD,Europe,Madrid,185,0
34.175.244.157,2053,80,FALSE,MAD,Europe,Madrid,185,0
34.175.168.99,2087,80,FALSE,MAD,Europe,Madrid,185,0
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,185,0
34.175.99.73,2086,80,FALSE,MAD,Europe,Madrid,185,0
34.116.253.19,443,443,TRUE,FRA,Europe,Frankfurt,186,0
34.175.99.73,2095,80,FALSE,MAD,Europe,Madrid,187,0
34.175.95.58,2086,80,FALSE,MAD,Europe,Madrid,188,0
34.116.163.17,443,443,TRUE,FRA,Europe,Frankfurt,189,0
34.118.54.36,443,443,TRUE,FRA,Europe,Frankfurt,192,0
34.116.167.118,443,443,TRUE,FRA,Europe,Frankfurt,193,0
34.82.76.253,443,443,TRUE,SEA,North America,Seattle,205,0
35.232.39.116,80,80,FALSE,DFW,North America,Dallas,206,0
34.28.14.212,8080,80,FALSE,ORD,North America,Chicago,209,0
35.225.207.21,80,80,FALSE,ORD,North America,Chicago,210,0
34.28.14.212,8080,80,FALSE,ORD,North America,Chicago,211,0
35.239.252.197,80,80,FALSE,ORD,North America,Chicago,211,0
35.229.116.150,80,80,FALSE,ATL,North America,Atlanta,219,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,220,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,220,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,221,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,222,0
34.155.212.138,8080,80,FALSE,ORD,North America,Chicago,380,0
